id,name,birth_date,experience,phone,comment,tariff
1,Doralynne,1923-05-26,1,'+0996387305',lawyer comment type 3,133
2,Celestyna,1977-08-31,27,'80998124081',lawyer comment type 5,460
3,Rosene,1950-06-25,4,'30959077281',lawyer comment type 5,12
4,Silvana,1911-09-02,15,'30953662154',lawyer comment type 5,156
5,Brana,2012-02-25,28,'+380957800673',lawyer comment type 3,427
6,Bertine,1957-07-09,18,'+0996821267',lawyer comment type 3,85
7,Tiffie,1979-06-12,14,'+0997881287',lawyer comment type 4,425
8,Gerrie,1938-01-27,4,'+80956314866',lawyer comment type 3,227
9,Jillayne,1946-06-10,21,'30665006062',lawyer comment type 3,169
10,Viviene,1926-09-30,19,'+380667013527',lawyer comment type 4,387
11,Viviene,1936-08-08,38,'+380997537718',lawyer comment type 4,57
12,Jackie,2012-03-21,14,'+0993743496',lawyer comment type 3,278
13,Dyann,1995-08-18,17,'+30661802671',lawyer comment type 4,424
14,Dorene,1968-02-28,30,'380950948255',lawyer comment type 5,367
15,Gabi,1903-01-18,13,'+380665332892',lawyer comment type 3,96
16,Wilma,1937-10-18,28,'80996625354',lawyer comment type 4,487
17,Konstance,1917-11-28,11,'380998706159',lawyer comment type 3,218
18,Elena,1951-10-02,37,'+80665866665',lawyer comment type 1,68
19,Dennie,2000-01-01,27,'0955334472',lawyer comment type 3,327
20,Ann-Marie,1996-02-23,23,'380952693621',lawyer comment type 2,181
21,Kristan,1901-03-15,5,'380997498174',lawyer comment type 1,159
22,Rebeca,1906-11-27,17,'+30665328245',lawyer comment type 4,397
23,Elbertina,1986-03-25,34,'+30956178429',lawyer comment type 1,447
24,Frank,1978-05-28,20,'0998145993',lawyer comment type 4,279
25,Rosaline,1916-12-20,25,'+80959136873',lawyer comment type 1,48
